Entered By,Year,Month,Day,Hour,Minute,Second,Strain,Width (cm),Height (cm)
Mike,2017,7,25,15,57,28,125_T0_L_C,0.51,0.79
Mike,2017,7,25,15,57,28,125_T0_L_D,0.74,0.76
Mike,2017,7,25,15,57,28,125_T0_L_E,0.84,1.02
Mike,2017,7,25,15,57,28,125_T0_L_A,1.25,1.32
Mike,2017,7,25,15,57,28,125_T0_L_B,1.01,1.12
Mike,2017,7,25,15,59,41,125_T0_C_B,1.54,1.57
Mike,2017,7,25,15,59,41,125_T0_C_D,1.54,1.53
Mike,2017,7,25,15,59,41,125_T0_C_E,1.55,1.6
Mike,2017,7,25,15,59,41,125_T0_C_A,1.51,1.51
Mike,2017,7,25,15,59,41,125_T0_C_C,1.49,1.54
Mike,2017,7,25,16,2,12,125_T0_G_A,1.24,1.3
Mike,2017,7,25,16,2,12,125_T0_G_D,0.92,1.01
Mike,2017,7,25,16,2,12,125_T0_G_E,1.35,1.28
Mike,2017,7,25,16,2,12,125_T0_G_B,1.18,1.19
Mike,2017,7,25,16,2,12,125_T0_G_C,1.05,1.14
Mike,2017,7,26,14,32,15,125_T1_G_B,0.37,0.43
Mike,2017,7,26,14,32,15,125_T1_G_D,0.56,0.58
Mike,2017,7,26,14,32,15,125_T1_G_A,0.5,0.5
Mike,2017,7,26,14,32,15,125_T1_G_C,0.38,0.41
Mike,2017,7,26,14,32,15,125_T1_G_E,0.4,0.46
Mike,2017,7,26,14,35,11,125_T1_L_A,0.89,0.93
Mike,2017,7,26,14,35,11,125_T1_L_E,0.47,0.5
Mike,2017,7,26,14,35,11,125_T1_L_D,0.22,0.29
Mike,2017,7,26,14,35,11,125_T1_L_B,0.58,0.64
Mike,2017,7,26,14,35,11,125_T1_L_C,0.19,0.23
Mike,2017,7,26,14,37,46,125_T1_C_A,1.32,1.39
Mike,2017,7,26,14,37,46,125_T1_C_D,1.48,1.53
Mike,2017,7,26,14,37,46,125_T1_C_E,1.4,1.45
Mike,2017,7,26,14,37,46,125_T1_C_C,1.35,1.46
Mike,2017,7,26,14,37,46,125_T1_C_B,1.46,1.48
Mike,2017,7,27,15,26,21,125_T2_L_B,1.74,1.8
Mike,2017,7,27,15,26,21,125_T2_L_D,0,0
Mike,2017,7,27,15,26,21,125_T1_L_C,0.23,0.23
Mike,2017,7,27,15,26,21,125_T2_L_A,1.57,1.62
Mike,2017,7,27,15,26,21,125_T1-2_L_C,1.61,1.71
Mike,2017,7,27,15,26,21,125_T2_L_E,1.45,1.46
Mike,2017,7,27,15,29,5,125_T2_C_D,1.68,1.74
Mike,2017,7,27,15,29,5,125_T2_C_B,1.87,1.91
Mike,2017,7,27,15,29,5,125_T1_C_C,3.35,3.43
Mike,2017,7,27,15,29,5,125_T2_C_E,1.62,1.69
Mike,2017,7,27,15,29,5,125_T1-2_C_C,1.91,1.96
Mike,2017,7,27,15,29,5,125_T2_C_A,1.7,1.78
Mike,2017,7,27,15,31,46,125_T2_G_D,1.46,1.55
Mike,2017,7,27,15,31,46,125_T2_G_B,1.51,1.72
Mike,2017,7,27,15,31,46,125_T1_G_C,1.55,1.61
Mike,2017,7,27,15,31,46,125_T2_G_E,1.44,1.49
Mike,2017,7,27,15,31,46,125_T1-2_G_C,0.61,0.61
Mike,2017,7,27,15,31,46,125_T2_G_A,1.43,1.43
Mike,2017,7,28,12,35,12,125_T2_G_D,2.83,2.79
Mike,2017,7,28,12,35,12,125_T1_G_D,2.05,2.17
Mike,2017,7,28,12,35,12,125_T1_L_D,0,0
Mike,2017,7,28,12,35,12,125_T2_C_D,3.22,3.29
Mike,2017,7,28,12,35,12,125_T2_L_D,0,0
Mike,2017,7,28,12,35,12,125_T1_C_D,3.52,3.54
Mike,2017,7,28,12,37,23,125_T2_L_C,1.35,1.41
Mike,2017,7,28,12,37,23,125_T2_C_C,1.41,1.46
Mike,2017,7,28,12,37,23,125_T2_G_C,1.45,1.5
Mike,2017,7,28,12,39,46,125_T3_L_B,1.45,1.46
Mike,2017,7,28,12,39,46,125_T3_C_B,1.74,1.83
Mike,2017,7,28,12,39,46,125_T3_G_B,1.3,1.36
Mike,2017,7,28,12,39,46,125_T3_L_E,1.53,1.52
Mike,2017,7,28,12,39,46,125_T3_C_E,1.53,1.59
Mike,2017,7,28,12,39,46,125_T3_G_E,1.37,1.42
Mike,2017,7,28,12,42,10,125_T1-2_G_D,1.46,1.51
Mike,2017,7,28,12,42,10,125_T1-2_C_D,1.64,1.69
Mike,2017,7,28,12,42,10,125_T1-2_L_D,1.52,1.53
Mike,2017,7,28,12,42,10,125_T3_L_A,1.52,1.52
Mike,2017,7,28,12,42,10,125_T3_C_A,1.54,1.62
Mike,2017,7,28,12,42,10,125_T3_G_A,1.31,1.38
Mike,2017,7,29,16,34,25,125_T4_L_B,1.98,2.08
Mike,2017,7,29,16,34,25,125_T4_C_B,2.86,2.72
Mike,2017,7,29,16,34,25,125_T4_G_B,1.76,1.82
Mike,2017,7,29,16,34,25,125_T4_L_A,2.06,2.17
Mike,2017,7,29,16,34,25,125_T4_C_A,2.11,2.19
Mike,2017,7,29,16,34,25,125_T4_G_A,1.68,1.74
Mike,2017,7,29,16,37,0,125_T2-2_L_D,1.87,1.95
Mike,2017,7,29,16,37,0,125_T2-2_G_D,1.93,1.96
Mike,2017,7,29,16,37,0,125_T2-2_C_D,2.09,2.1
Mike,2017,7,29,16,37,0,125_T3_L_C,1.79,1.92
Mike,2017,7,29,16,37,0,125_T3_C_C,2.06,2.1
Mike,2017,7,29,16,37,0,125_T3_G_C,1.73,1.74
Mike,2017,7,29,16,38,50,125_T4_L_E,1.97,2.03
Mike,2017,7,29,16,38,50,125_T4_C_E,2.1,2.12
Mike,2017,7,29,16,38,50,125_T4_G_E,1.98,1.96
Mike,2017,7,30,18,53,18,125_T5_L_E,1.43,1.51
Mike,2017,7,30,18,53,18,125_T5_C_E,1.63,1.66
Mike,2017,7,30,18,53,18,125_T5_G_E,1.43,1.49
Mike,2017,7,30,18,56,26,125_T3_L_D,1.51,1.58
Mike,2017,7,30,18,56,26,125_T3_G_D,1.45,1.46
Mike,2017,7,30,18,56,26,125_T3_C_D,1.88,1.94
Mike,2017,7,30,18,56,26,125_T4_L_C,1.41,1.46
Mike,2017,7,30,18,56,26,125_T4_C_C,1.68,1.78
Mike,2017,7,30,18,56,26,125_T4_G_C,1.31,1.36
Mike,2017,7,30,18,59,5,125_T5_L_B,2.01,2.05
Mike,2017,7,30,18,59,5,125_T5_C_B,2.46,2.52
Mike,2017,7,30,18,59,5,125_T5_G_B,1.36,1.37
Mike,2017,7,30,18,59,5,125_T5_G_A,1.41,1.47
Mike,2017,7,30,18,59,5,125_T5_L_A,1.89,1.92
Mike,2017,7,30,18,59,5,125_T5_C_A,1.92,1.96
Mike,2017,7,31,17,52,0,125_T5_L_C,1.36,1.41
Mike,2017,7,31,17,52,0,125_T5_C_C,1.59,1.64
Mike,2017,7,31,17,52,0,125_T5_G_C,1.27,1.35
Mike,2017,7,31,17,52,0,125_T4_L_D,1.41,1.44
Mike,2017,7,31,17,52,0,125_T4_C_D,1.58,1.63
Mike,2017,7,31,17,52,0,125_T4_G_D,1.25,1.29
Mike,2017,7,31,17,55,0,125_T6_G_A,1.07,1.1
Mike,2017,7,31,17,55,0,125_T6_L_A,1.52,1.58
Mike,2017,7,31,17,55,0,125_T6_C_A,1.39,1.44
Mike,2017,7,31,17,55,0,125_T6_L_B,1.37,1.4
Mike,2017,7,31,17,55,0,125_T6_C_B,1.61,1.64
Mike,2017,7,31,17,55,0,125_T6_G_B,1.36,1.41
Mike,2017,7,31,17,57,0,125_T6_G_E,1.48,1.59
Mike,2017,7,31,17,57,0,125_T6_L_E,1.52,1.55
Mike,2017,7,31,17,57,0,125_T6_C_E,1.68,1.71
Mike,2017,8,1,16,34,25,125_T7_G_E,1.21,1.3
Mike,2017,8,1,16,34,25,125_T7_L_E,1.41,1.48
Mike,2017,8,1,16,34,25,125_T7_C_E,1.44,1.49
Mike,2017,8,1,16,36,27,125_T5_L_D,1.3,1.35
Mike,2017,8,1,16,36,27,125_T5_C_D,1.55,1.59
Mike,2017,8,1,16,36,27,125_T5_G_D,1.07,1.13
Mike,2017,8,1,16,36,27,125_T6_L_C,1.2,1.25
Mike,2017,8,1,16,36,27,125_T6_C_C,1.67,1.66
Mike,2017,8,1,16,36,27,125_T6_G_C,1.04,1.1
Mike,2017,8,1,16,39,2,125_T7_L_B,1.42,1.47
Mike,2017,8,1,16,39,2,125_T7_C_B,1.69,1.78
Mike,2017,8,1,16,39,2,125_T7_G_B,1.27,1.28
Mike,2017,8,1,16,39,2,125_T7_G_A,1.15,1.23
Mike,2017,8,1,16,39,2,125_T7_L_A,1.75,1.82
Mike,2017,8,1,16,39,2,125_T7_C_A,1.87,1.94
Mike,2017,8,2,15,25,12,125_T8_G_E,1.56,1.64
Mike,2017,8,2,15,25,12,125_T8_L_E,1.38,1.46
Mike,2017,8,2,15,25,12,125_T8_C_E,1.52,1.57
Mike,2017,8,2,15,27,14,125_T8_L_B,1.28,1.27
Mike,2017,8,2,15,27,14,125_T8_C_B,1.93,1.97
Mike,2017,8,2,15,27,14,125_T8_G_B,1.49,1.56
Mike,2017,8,2,15,27,14,125_T8_G_A,1.27,1.34
Mike,2017,8,2,15,27,14,125_T8_L_A,1.48,1.51
Mike,2017,8,2,15,27,14,125_T8_C_A,1.93,1.91
Mike,2017,8,2,15,30,15,125_T6_L_D,1.43,1.44
Mike,2017,8,2,15,30,15,125_T6_C_D,1.76,1.78
Mike,2017,8,2,15,30,15,125_T6_G_D,1.62,1.69
Mike,2017,8,2,15,30,15,125_T7_L_C,1.35,1.37
Mike,2017,8,2,15,30,15,125_T7_C_C,1.75,1.83
Mike,2017,8,2,15,30,15,125_T7_G_C,1.23,1.29
Mike,2017,8,3,14,38,11,125_T9_G_E,1.42,1.49
Mike,2017,8,3,14,38,11,125_T9_L_E,1.45,1.52
Mike,2017,8,3,14,38,11,125_T9_C_E,1.49,1.52
Mike,2017,8,3,14,40,44,125_T7_G_D,1.39,1.41
Mike,2017,8,3,14,40,44,125_T7_C_D,1.57,1.59
Mike,2017,8,3,14,40,44,125_T7_L_D,1.46,1.52
Mike,2017,8,3,14,40,44,125_T8_G_C,1.22,1.28
Mike,2017,8,3,14,40,44,125_T8_C_C,1.74,1.74
Mike,2017,8,3,14,40,44,125_T8_L_C,1.46,1.52
Mike,2017,8,3,14,43,37,125_T9_L_B,1.45,1.52
Mike,2017,8,3,14,43,37,125_T9_C_B,1.65,1.69
Mike,2017,8,3,14,43,37,125_T9_G_B,1.47,1.56
Mike,2017,8,3,14,43,37,125_T9_G_A,1.26,1.33
Mike,2017,8,3,14,43,37,125_T9_L_A,1.74,1.69
Mike,2017,8,3,14,43,37,125_T9_C_A,2.29,2.24
Mike,2017,8,4,15,2,15,125_T10_G_E,1.65,1.7
Mike,2017,8,4,15,2,15,125_T10_L_E,1.52,1.57
Mike,2017,8,4,15,2,15,125_T10_C_E,1.69,1.73
Mike,2017,8,4,15,5,3,125_T8_G_D,1.41,1.48
Mike,2017,8,4,15,5,3,125_T8_C_D,1.73,1.78
Mike,2017,8,4,15,5,3,125_T8_L_D,1.39,1.43
Mike,2017,8,4,15,5,3,125_T9_G_C,1.32,1.35
Mike,2017,8,4,15,5,3,125_T9_C_C,1.99,2.07
Mike,2017,8,4,15,5,3,125_T9_L_C,1.57,1.56
Mike,2017,8,4,15,7,41,125_T10_L_B,1.38,1.46
Mike,2017,8,4,15,7,41,125_T10_C_B,2.02,2.02
Mike,2017,8,4,15,7,41,125_T10_G_B,1.61,1.69
Mike,2017,8,4,15,7,41,125_T10_G_A,1.47,1.56
Mike,2017,8,4,15,7,41,125_T10_L_A,1.82,1.87
Mike,2017,8,4,15,7,41,125_T10_C_A,2.67,2.68
Mike,2017,8,5,18,43,4,125_T11_G_E,1.63,1.69
Mike,2017,8,5,18,43,4,125_T11_L_E,1.91,1.88
Mike,2017,8,5,18,43,4,125_T11_C_E,1.85,1.9
Mike,2017,8,5,18,46,11,125_T9_G_D,1.77,1.86
Mike,2017,8,5,18,46,11,125_T9_C_D,2.03,2.07
Mike,2017,8,5,18,46,11,125_T9_L_D,1.8,1.84
Mike,2017,8,5,18,46,11,125_T10_G_C,1.41,1.46
Mike,2017,8,5,18,46,11,125_T10_C_C,2.24,2.29
Mike,2017,8,5,18,46,11,125_T10_L_C,1.79,1.86
Mike,2017,8,5,18,49,4,125_T11_L_B,1.57,1.63
Mike,2017,8,5,18,49,4,125_T11_C_B,2.03,2.09
Mike,2017,8,5,18,49,4,125_T11_G_B,1.83,1.85
Mike,2017,8,5,18,49,4,125_T11_G_A,1.74,1.79
Mike,2017,8,5,18,49,4,125_T11_L_A,1.9,1.99
Mike,2017,8,5,18,49,4,125_T11_C_A,3.38,3.5
Mike,2017,8,6,15,48,59,125_T12_G_E,1.03,1.08
Mike,2017,8,6,15,48,59,125_T12_L_E,1.2,1.24
Mike,2017,8,6,15,48,59,125_T12_C_E,1.46,1.52
Mike,2017,8,6,15,51,3,125_T12_L_B,1.08,1.17
Mike,2017,8,6,15,51,3,125_T12_C_B,1.12,1.12
Mike,2017,8,6,15,51,3,125_T12_G_B,1.13,1.16
Mike,2017,8,6,15,51,3,125_T12_G_A,1.32,1.35
Mike,2017,8,6,15,51,3,125_T12_L_A,1.41,1.46
Mike,2017,8,6,15,51,3,125_T12_C_A,1.83,1.83
Mike,2017,8,6,15,53,22,125_T10_G_D,1.05,1.07
Mike,2017,8,6,15,53,22,125_T10_C_D,1.36,1.37
Mike,2017,8,6,15,53,22,125_T10_L_D,1.2,1.29
Mike,2017,8,6,15,53,22,125_T11_G_C,1,1.08
Mike,2017,8,6,15,53,22,125_T11_C_C,1.24,1.25
Mike,2017,8,6,15,53,22,125_T11_L_C,1.41,1.49
Mike,2017,8,7,16,47,43,125_T13_G_E,2.04,2.09
Mike,2017,8,7,16,47,43,125_T13_L_E,1.72,1.77
Mike,2017,8,7,16,47,43,125_T13_C_E,2.79,2.74
Mike,2017,8,7,16,50,5,125_T13_L_B,1.65,1.7
Mike,2017,8,7,16,50,5,125_T13_C_B,2.43,2.4
Mike,2017,8,7,16,50,5,125_T13_G_B,1.68,1.77
Mike,2017,8,7,16,50,5,125_T13_G_A,1.85,1.92
Mike,2017,8,7,16,50,5,125_T13_L_A,2.04,2.07
Mike,2017,8,7,16,50,5,125_T13_C_A,2.94,3.01
Mike,2017,8,7,16,52,49,125_T11_G_D,1.79,1.85
Mike,2017,8,7,16,52,49,125_T11_C_D,2.12,2.12
Mike,2017,8,7,16,52,49,125_T11_L_D,1.79,1.79
Mike,2017,8,7,16,52,49,125_T12_G_C,1.33,1.41
Mike,2017,8,7,16,52,49,125_T12_C_C,2.32,2.37
Mike,2017,8,7,16,52,49,125_T12_L_C,1.63,1.74
Mike,2017,8,8,15,9,15,125_T14_G_E,1.37,1.41
Mike,2017,8,8,15,9,15,125_T14_L_E,1.31,1.35
Mike,2017,8,8,15,9,15,125_T14_C_E,1.46,1.53
Mike,2017,8,8,15,11,20,125_T12_G_D,1.1,1.17
Mike,2017,8,8,15,11,20,125_T12_C_D,1.14,1.19
Mike,2017,8,8,15,11,20,125_T12_L_D,1.3,1.35
Mike,2017,8,8,15,11,20,125_T13_G_C,1.07,1.13
Mike,2017,8,8,15,11,20,125_T13_C_C,1.8,1.79
Mike,2017,8,8,15,11,20,125_T13_L_C,1.12,1.19
Mike,2017,8,8,15,13,50,125_T14_L_B,1.2,1.3
Mike,2017,8,8,15,13,50,125_T14_C_B,2.37,2.46
Mike,2017,8,8,15,13,50,125_T14_G_B,1.17,1.24
Mike,2017,8,8,15,13,50,125_T14_G_A,1.23,1.29
Mike,2017,8,8,15,13,50,125_T14_L_A,1.41,1.51
Mike,2017,8,8,15,13,50,125_T14_C_A,2.18,2.24
Mike,2017,8,9,15,24,35,125_T13_C_D,1.98,2.07
Mike,2017,8,9,15,24,35,125_T14_G_C,1.33,1.37
Mike,2017,8,9,15,24,35,125_T14_C_C,2.25,2.31
Mike,2017,8,9,15,24,35,125_T13_L_D,1.43,1.49
Mike,2017,8,9,15,24,35,125_T13_G_D,1.61,1.67
Mike,2017,8,9,15,24,35,125_T14_L_C,1.76,1.85
,2017,8,10,14,43,53,125_T14_L_D,1.88,1.88
,2017,8,10,14,43,53,125_T14_G_D,2.09,2.1
,2017,8,10,14,43,53,125_T14_C_D,2.12,2.17
